recall,precision
0.527331188,0.8241205989
0.539845757,0.8606557342
0.3626570909,0.664473682
0.3097112853,0.6378378344
0.151612903,0.5193370137
0.5433070845,0.7187499963
0.5922077918,0.8260869558
0.2787967716,0.5241379303
0.4468085093,0.6336206869
0.5905660366,0.6259999987
0.6556962009,0.8248407617
0.552845527,0.733812947
0.2351945851,0.5767634831
0.4098360642,0.739644966
0.4848484836,0.6056782315
0.6622516534,0.7168458756
0.5138888875,0.6928838925
0.6027027011,0.7384105936
0.570333461,0.7721847429
0.4557823114,0.7362637322
0.527331188,0.8241205989
0.539845757,0.8606557342
0.3662477552,0.6710526294
0.3097112853,0.6378378344
0.1532258062,0.5248618756
0.5433070845,0.7187499963
0.5919428196,0.8251811587
0.2782672538,0.52275862
0.4468085093,0.6336206869
0.5905660366,0.6259999987
0.6556962009,0.8248407617
0.552845527,0.733812947
0.2372881352,0.5809128607
0.4098360642,0.739644966
0.4848484836,0.6056782315
0.6622516534,0.7168458756
0.513966479,0.6891385742
0.6027027011,0.7384105936
0.5700057459,0.7721847429
0.4493243228,0.7307692268
0.527331188,0.8241205989
0.539845757,0.8606557342
0.3626570909,0.664473682
0.3097112853,0.6378378344
0.1580645159,0.5414364611
0.5433070845,0.7187499963
0.5924724201,0.8269927529
0.2791208789,0.5255172407
0.4468085093,0.6336206869
0.5905660366,0.6259999987
0.6556962009,0.8248407617
0.552845527,0.733812947
0.2372881352,0.5809128607
0.4131147527,0.7455621258
0.4848484836,0.6056782315
0.6622516534,0.7168458756
0.5125348175,0.6891385742
0.6027027011,0.7384105936
0.5706886628,0.7719252722
0.449664428,0.7362637322
0.5241157539,0.8232323191
0.539845757,0.8606557342
0.3680430873,0.6788079448
0.3097112853,0.6378378344
0.1548387094,0.5393258397
0.5433070845,0.7263157857
0.5915584412,0.8266787651
0.2798534796,0.5312934624
0.4468085093,0.6363636336
0.5905660366,0.6272545078
0.6556962009,0.8248407617
0.552845527,0.733812947
0.2372881352,0.5882352916
0.4131147527,0.7499999955
0.4848484836,0.6095238076
0.6622516534,0.7168458756
0.5111731829,0.6879699222
0.6027027011,0.7384105936
0.5705521471,0.7725856696
0.4511784497,0.7362637322
0.5209003199,0.8350515421
0.539845757,0.871369291
0.3572710945,0.6677852327
0.3097112853,0.6555555519
0.1532258062,0.5491329448
0.5433070845,0.7340425493
0.5915584412,0.8334858181
0.2777777776,0.5359661488
0.4437689956,0.6375545824
0.5905660366,0.628514055
0.6531645553,0.8269230743
0.552845527,0.7391304321
0.2368866324,0.5957446783
0.4098360642,0.7485029895
0.4823232311,0.6201298681
0.6589403952,0.7210144901
0.5125348175,0.6996197692
0.6027027011,0.7483221451
0.570278044,0.7736732568
0.4505119439,0.7374301635
0.5176848858,0.8385416623
0.539845757,0.8823529375
0.3566308237,0.7031802095
0.3097112853,0.6666666629
0.151612903,0.5529411732
0.5433070845,0.7499999959
0.591293047,0.8441558434
0.2780630959,0.5484804623
0.4407294819,0.6502242123
0.5886792442,0.6367346926
0.6481012642,0.8311688285
0.5474254728,0.7481481454
0.2359932084,0.6096491201
0.4032786872,0.7454545409
0.4823232311,0.6282894716
0.6589403952,0.7397769489
0.5055865908,0.7015503849
0.5972972957,0.754266209
0.5693486589,0.7778068566
0.4493243228,0.7643678117
0.5112540176,0.8412698368
0.5347043688,0.8927038588
0.3572710945,0.7370370343
0.2913385819,0.685185181
0.1387096772,0.5850340096
0.5393700766,0.7653631242
0.5840363397,0.8587786251
0.2703894193,0.5832012669
0.4285714273,0.6682464423
0.5830188668,0.656050954
0.6455696186,0.8415841556
0.5447154457,0.7642585522
0.2301184429,0.6476190445
0.4032786872,0.7884615334
0.4772727261,0.6406779639
0.6456953621,0.7587548609
0.4999999986,0.7188754991
0.5918918903,0.7765957419
0.5616858236,0.7924324322
0.4474576256,0.785714281
0.5048231495,0.8674033101
0.5269922866,0.8951965026
0.3482944338,0.7607843107
0.2677165347,0.7083333284
0.1241935482,0.6363636311
0.5393700766,0.7873563173
0.578947368,0.8726738483
0.257142857,0.5989761082
0.4194528863,0.6798029523
0.5735849046,0.6666666652
0.6405063275,0.851851849
0.5420054186,0.7905138309
0.2254237284,0.6519607811
0.3967213102,0.790849668
0.462121211,0.6489361679
0.6357615873,0.7773279321
0.4929971975,0.7619047586
0.5837837822,0.7826086928
0.5508913167,0.8043660787
0.4362416093,0.8176100578
0.4887459791,0.8786127117
0.5141388162,0.9174311885
0.3369175621,0.7866108754
0.2519685033,0.7328244219
0.1209677417,0.6880733882
0.5236220452,0.8159509152
0.5705003245,0.885973763
0.2463343107,0.6233766222
0.4072948316,0.7052631542
0.5509433952,0.696897373
0.6354430364,0.8655172384
0.5311653102,0.8166666633
0.2182741113,0.6898395685
0.3836065561,0.8239436562
0.4469696958,0.6704545429
0.6291390708,0.7983193244
0.4846796644,0.8093023218
0.567567566,0.7954545424
0.5395973153,0.8189755527
0.4175084161,0.8322147595
0.4501607703,0.9090909032
0.4910025694,0.9408866949
0.2992831536,0.8028846115
0.2283464561,0.7909090837
0.0903225805,0.7179487087
0.5118110216,0.838709672
0.5561323812,0.9040084379
0.2300366299,0.6826086942
0.3708206676,0.7261904719
0.5339622631,0.7350649332
0.6126582263,0.8897058791
0.5067750664,0.8423423385
0.2064297797,0.7530864151
0.3540983595,0.8503936941
0.4141414131,0.7038626579
0.6158940377,0.8340807137
0.4817927157,0.8514851443
0.532432431,0.8140495834
0.5202223499,0.8379129358
0.3911564613,0.8333333273
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
